Title,Year,IMDb_Rating,IMDb_Votes,Box_Office,RT_Score
Barbie,2023,68.0,660843,636238421,88
The Super Mario Bros. Movie,2023,70.0,283952,574934330,59
Oppenheimer,2023,82.0,1008589,330078895,93
Guardians of the Galaxy Vol. 3,2023,79.0,461399,358995815,82
Fast X,2023,57.0,142324,146126015,56
Spider-Man: Across the Spider-Verse,2023,85.0,509515,381593754,95
Wonka,2023,69.0,188015,218402312,82
Mission: Impossible - Dead Reckoning Part One,2023,76.0,322034,172640980,96
The Little Mermaid,2023,72.0,177541,298172056,67
Elemental,2023,70.0,160997,154426697,73
Ant-Man and the Wasp: Quantumania,2023,60.0,265100,214504909,46
John Wick: Chapter 4,2023,76.0,405485,187131806,94
Transformers: Rise of the Beasts,2023,60.0,129623,157341749,51
Aquaman and the Lost Kingdom,2023,56.0,116110,124481226,33
Meg 2: The Trench,2023,50.0,100504,82600317,27
Indiana Jones and the Dial of Destiny,2023,65.0,230035,174480468,71
Creation of the Gods I: Kingdom of Storms,2023,67.0,6419,1706355,60
The Hunger Games: The Ballad of Songbirds & Snakes,2023,66.0,179656,166350594,64
Inside Out 2,2024,75.0,245290,652980194,91
Deadpool & Wolverine,2024,75.0,556424,636745858,78
Moana 2,2024,63.0,122389,460405297,60
Despicable Me 4,2024,62.0,76384,361004205,55
Wicked,2024,74.0,191746,474560015,88
Mufasa: The Lion King,2024,66.0,80914,254567693,56
Dune: Part Two,2024,84.0,713701,282144358,92
Godzilla x Kong: The New Empire,2024,60.0,132830,196350016,54
Kung Fu Panda 4,2024,63.0,78494,193590620,71
Sonic the Hedgehog 3,2024,69.0,77426,236115100,86
Venom: The Last Dance,2024,60.0,149838,139755882,40
Gladiator II,2024,65.0,288555,172438016,70
Beetlejuice Beetlejuice,2024,66.0,171291,294100435,75
Yolo,2024,69.0,4169,2001584,82
Bad Boys: Ride or Die,2024,65.0,111622,193573217,65
Kingdom of the Planet of the Apes,2024,68.0,166568,171130165,80
Twisters,2024,65.0,190996,267762265,75
Ne Zha 2,2025,79.0,23207,23308176,92
Zootopia 2,2025,74.0,83646,421357518,91
Avatar: Fire and Ash,2025,74.0,134356,401636328,66
Lilo & Stitch,2025,67.0,91440,423778855,72
Jurassic World Rebirth,2025,58.0,185404,339640400,50
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,84.0,64082,134519077,98
How to Train Your Dragon,2025,77.0,122205,262958100,77
F1,2025,76.0,319501,189642436,82
Superman,2025,70.0,393313,354223803,83
Mission: Impossible - The Final Reckoning,2025,72.0,213916,197413515,80
Wicked: For Good,2025,67.0,58369,342915090,66
Captain America: Brave New World,2025,56.0,178537,200500001,46
The Housemaid,2025,68.0,104152,126409934,73
Thunderbolts*,2025,71.0,266060,190274328,88
