Title,Year,IMDb_Rating,IMDb_Votes,Box_Office,RT_Score
Barbie,2023,6.8,"660,843","$636,238,421",88%
The Super Mario Bros. Movie,2023,7.0,"283,952","$574,934,330",59%
Oppenheimer,2023,8.2,"1,008,589","$330,078,895",93%
Guardians of the Galaxy Vol. 3,2023,7.9,"461,399","$358,995,815",82%
Fast X,2023,5.7,"142,324","$146,126,015",56%
Spider-Man: Across the Spider-Verse,2023,8.5,"509,515","$381,593,754",95%
Full River Red,2023,6.4,"3,918",N/A,94%
Wonka,2023,6.9,"188,015","$218,402,312",82%
Mission: Impossible - Dead Reckoning Part One,2023,7.6,"322,034","$172,640,980",96%
The Little Mermaid,2023,7.2,"177,541","$298,172,056",67%
Elemental,2023,7.0,"160,997","$154,426,697",73%
Ant-Man and the Wasp: Quantumania,2023,6.0,"265,100","$214,504,909",46%
John Wick: Chapter 4,2023,7.6,"405,485","$187,131,806",94%
Transformers: Rise of the Beasts,2023,6.0,"129,623","$157,341,749",51%
Aquaman and the Lost Kingdom,2023,5.6,"116,110","$124,481,226",33%
Meg 2: The Trench,2023,5.0,"100,504","$82,600,317",27%
Indiana Jones and the Dial of Destiny,2023,6.5,"230,035","$174,480,468",71%
Creation of the Gods I: Kingdom of Storms,2023,6.7,"6,419","$1,706,355",60%
The Hunger Games: The Ballad of Songbirds & Snakes,2023,6.6,"179,656","$166,350,594",64%
Lost in the Stars,2023,,,,
Inside Out 2,2024,7.5,"245,290","$652,980,194",91%
Deadpool & Wolverine,2024,7.5,"556,424","$636,745,858",78%
Moana 2,2024,6.3,"122,389","$460,405,297",60%
Despicable Me 4,2024,6.2,"76,384","$361,004,205",55%
Wicked,2024,7.4,"191,746","$474,560,015",88%
Mufasa: The Lion King,2024,6.6,"80,914","$254,567,693",56%
Dune: Part Two,2024,8.4,"713,701","$282,144,358",92%
Godzilla x Kong: The New Empire,2024,6.0,"132,830","$196,350,016",54%
Kung Fu Panda 4,2024,6.3,"78,494","$193,590,620",71%
Sonic the Hedgehog 3,2024,6.9,"77,426","$236,115,100",86%
Venom: The Last Dance,2024,6.0,"149,838","$139,755,882",40%
Pegasus 2,2024,6.9,"1,492",N/A,
Gladiator II,2024,6.5,"288,555","$172,438,016",70%
Beetlejuice Beetlejuice,2024,6.6,"171,291","$294,100,435",75%
Yolo,2024,6.9,"4,169","$2,001,584",82%
Successor,2024,6.8,"1,679",N/A,
Bad Boys: Ride or Die,2024,6.5,"111,622","$193,573,217",65%
Kingdom of the Planet of the Apes,2024,6.8,"166,568","$171,130,165",80%
Limonov: The Ballad,2024,5.9,"1,237",N/A,63%
Twisters,2024,6.5,"190,996","$267,762,265",75%
Ne Zha 2,2025,7.9,"23,207","$23,308,176",92%
Zootopia 2,2025,7.4,"83,646","$421,357,518",91%
Avatar: Fire and Ash,2025,7.4,"134,356","$401,636,328",66%
Lilo & Stitch,2025,6.7,"91,440","$423,778,855",72%
A Minecraft Movie,2025,5.6,"153,774","$424,087,780",
Jurassic World Rebirth,2025,5.8,"185,404","$339,640,400",50%
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,8.4,"64,082","$134,519,077",98%
How to Train Your Dragon,2025,7.7,"122,205","$262,958,100",77%
F1,2025,7.6,"319,501","$189,642,436",82%
Superman,2025,7.0,"393,313","$354,223,803",83%
Mission: Impossible - The Final Reckoning,2025,7.2,"213,916","$197,413,515",80%
Wicked: For Good,2025,6.7,"58,369","$342,915,090",66%
The Fantastic 4: First Steps,2025,,,,
Detective Chinatown 1900,2025,6.0,"1,748","$2,229,946",
The World of the Pharaoh (Live Theatre),2025,,,,
The Conjuring: Last Rites,2025,6.2,"93,981","$177,756,445",
Dead to Rights,2025,7.7,"2,922",N/A,
Captain America: Brave New World,2025,5.6,"178,537","$200,500,001",46%
The Housemaid,2025,6.8,"104,152","$126,409,934",73%
Thunderbolts*,2025,7.1,"266,060","$190,274,328",88%
Pegasus 3,2026,N/A,112,N/A,
Hoppers,2026,N/A,N/A,N/A,
"""Wuthering Heights""",2026,N/A,N/A,N/A,
Project Hail Mary,2026,N/A,N/A,N/A,
Scream 7,2026,N/A,N/A,N/A,
GOAT,2026,6.9,"3,226","$39,631,196",
Blades of the Guardians: Wind Rises in the Desert,2026,,,,
Scare Out,2026,5.5,136,N/A,
Dhurandhar: The Revenge,2026,N/A,N/A,N/A,
Boonie Bears: The Hidden Protector,2026,N/A,10,N/A,
Send Help,2026,7.2,"13,269","$23,043,091",
The Wrecking Crew,2026,6.4,"38,251",N/A,
Crime 101,2026,7.2,"8,230","$18,209,249",
28 Years Later: The Bone Temple,2026,7.6,"44,804","$25,127,239",
Mercy,2026,6.2,"7,927","$19,407,819",
Reminders of Him,2026,N/A,N/A,N/A,
Iron Lung,2026,6.5,"16,861","$34,960,000",
Shelter,2026,6.4,"5,906","$12,377,905",
Greenland 2: Migration,2026,5.3,"18,909","$17,770,308",
Return to Silent Hill,2026,4.1,"10,544","$5,544,971",
